name,group_name,score,ticker,inception_date,portfolio_date,equity_percentage,holdings
JPMorgan Small Cap Core Select,Small Blend,82.12,VSSCX,1/2/1997,6/30/2015,97.17,440
JPMorgan Small Cap Equity A,Small Blend,91.52,VSEAX,12/20/1994,6/30/2015,95.25,100
JPMorgan Small Cap Growth A,Small Growth,85.37,PGSGX,7/1/1991,6/30/2015,99.42,123
JPMorgan Small Cap Value A,Small Value,81.52,PSOAX,1/27/1995,6/30/2015,96.82,396
JPMorgan Tax Aware Equity Instl,Large Blend,55.91,JPDEX,1/30/1997,6/30/2015,99.02,98
JPMorgan US Dynamic Plus A,Large Blend,93.44,JPSAX,1/31/2006,6/30/2015,98.81,119
JPMorgan US Equity Instl,Large Blend,51.31,JMUEX,9/17/1993,6/30/2015,99.1,192
JPMorgan US Large Cap Core Plus A,Large Blend,74.97,JLCAX,11/1/2005,6/30/2015,97.96,214
JPMorgan US Research Equity Plus A,Large Blend,100.74,JEPAX,4/1/2010,6/30/2015,97.12,164
JPMorgan US Small Company Instl,Small Blend,83.45,JUSSX,11/4/1993,6/30/2015,97.57,369
JPMorgan Value Advantage A,Large Value,75.64,JVAAX,2/28/2005,6/30/2015,90.9,119
Kalmar Growth-with-Value Sm Cp Inv,Small Growth,90.79,KGSCX,4/11/1997,5/31/2015,99.99,88
Keeley All Cap Value A,Mid Blend,96.72,KACVX,6/14/2006,5/31/2015,100,61
Keeley Mid Cap Dividend Value A,Mid Value,87.06,KMDVX,10/3/2011,5/31/2015,96.62,73
Keeley Mid Cap Value A,Mid Blend,93.22,KMCVX,8/15/2005,5/31/2015,99.46,55
Keeley Small Cap Dividend Value A,Small Value,89.91,KSDVX,12/1/2009,5/31/2015,99.23,82
Keeley Small Cap Value A,Small Blend,90.71,KSCVX,10/1/1993,5/31/2015,99.3,92
Keeley Small-Mid Cap Value A,Small Blend,95.47,KSMVX,8/15/2007,5/31/2015,98.9,79
KF Griffin Blue Chip Covered Call A,Large Blend,82.25,KFGAX,10/18/2013,3/31/2015,89.51,29
Kinetics Paradigm No Load,Mid Growth,95.15,WWNPX,12/31/1999,3/31/2015,99.81,92
Kinetics Small Cap Opportunities No Load,Small Blend,98.56,KSCOX,3/20/2000,3/31/2015,98.7,59
Kirr Marbach Partners Value,Mid Growth,96.8,KMVAX,12/31/1998,6/30/2015,98.11,42
KP Large Cap Equity Institutional,Large Blend,36.71,KPLCX,1/10/2014,3/31/2015,98.49,546
KP Small Cap Equity Institutional,Small Blend,70.96,KPSCX,1/10/2014,3/31/2015,98.53,"2,127"
Lateef A,Large Growth,87.79,LIMAX,9/6/2007,6/30/2015,91.89,19
Laudus Small-Cap MarketMasters Inv,Small Growth,89.44,SWOSX,9/16/1997,6/30/2015,94.6,"1,916"
Laudus US Large Cap Growth,Large Growth,65.58,LGILX,10/14/1997,6/30/2015,98.89,50
Lazard US Equity Concentrated Instl,Large Blend,90.58,LEVIX,9/30/2005,6/30/2015,91.84,21
Lazard US Mid Cap Equity Instl,Mid Blend,97.32,LZMIX,11/3/1997,6/30/2015,94.12,25
Lazard US Small Cap Equity Growth Instl,Small Growth,88.94,GRWIX,12/31/2014,6/30/2015,91.61,72
Lazard US Small-Mid Cap Equity Instl,Small Blend,95.18,LZSCX,10/30/1991,6/30/2015,99.61,83
Lazard US Strategic Equity Instl,Large Blend,83.29,LZUSX,12/30/2004,6/30/2015,95.97,62
Lebenthal Lisanti Small Cap Growth,Small Growth,83.49,ASCGX,2/27/2004,3/31/2015,91.61,92
Legg Mason BW Diversified Lg Cp Val A,Large Value,54.25,LBWAX,9/7/2010,6/30/2015,99.35,234
Legg Mason BW Dynamic Large Cap Val IS,Large Value,85.24,LMBGX,12/27/2006,6/30/2015,98.81,101
Legg Mason Opportunity C,Mid Value,98.69,LMOPX,12/30/1999,6/30/2015,96.8,56
Leuthold Select Industries,Mid Blend,92.25,LSLTX,6/19/2000,6/30/2015,98.69,128
Linde Hansen Contrarian Value A,Mid Blend,98.27,LHVAX,2/8/2012,5/31/2015,77.31,23
Litman Gregory Masters Equity Instl,Large Growth,80.87,MSEFX,12/31/1996,6/30/2015,95.28,80
Litman Gregory Masters Smlr Coms Instl,Small Blend,98.04,MSSFX,6/30/2003,6/30/2015,90.21,45
LKCM Aquinas Growth,Large Growth,69.35,AQEGX,1/3/1994,6/30/2015,99.61,49
LKCM Aquinas Small Cap,Small Growth,86.85,AQBLX,1/3/1994,6/30/2015,96.51,76
LKCM Aquinas Value,Large Blend,86.11,AQEIX,1/3/1994,6/30/2015,99.35,44
LKCM Equity Instl,Large Growth,80.25,LKEQX,12/29/1995,6/30/2015,94.27,71
LKCM Small Cap Equity Instl,Small Growth,86.79,LKSCX,7/14/1994,6/30/2015,98.98,81
LKCM Small-Mid Cap Equity Institutional,Mid Growth,98.17,LKSMX,5/2/2011,6/30/2015,96.68,59
Logan Capital Large Cap Grth Instl,Large Growth,74.89,LGNGX,6/28/2012,6/30/2015,98.15,52
Longleaf Partners,Large Blend,96.85,LLPFX,4/8/1987,6/30/2015,88.77,19
Longleaf Partners Small-Cap,Mid Blend,99.08,LLSCX,2/21/1989,6/30/2015,84.48,22
Loomis Sayles Growth Y,Large Growth,78,LSGRX,5/16/1991,6/30/2015,98.54,36
Loomis Sayles Small Cap Growth Instl,Small Growth,79.32,LSSIX,12/31/1996,6/30/2015,96.76,106
Loomis Sayles Small Cap Value Instl,Small Blend,90.33,LSSCX,5/13/1991,5/31/2015,99.66,158
Loomis Sayles Value Y,Large Value,71.87,LSGIX,5/13/1991,6/30/2015,98.31,72
Lord Abbett Affiliated A,Large Value,58.17,LAFFX,1/3/1950,6/30/2015,94.85,123
Lord Abbett Calibrated Dividend Gr A,Large Blend,75.88,LAMAX,12/27/2001,6/30/2015,93.04,85
Lord Abbett Calibrated Large Cap Val A,Large Value,60.86,LCAAX,12/29/2011,6/30/2015,97.09,101
Lord Abbett Calibrated Mid Cap Value A,Mid Value,77.11,LVMAX,12/29/2011,6/30/2015,96.64,123
Lord Abbett Developing Growth A,Small Growth,80.48,LAGWX,10/10/1973,6/30/2015,97.1,119
Lord Abbett Fundamental Equity C,Large Blend,74.52,GILAX,1/3/1994,6/30/2015,97.95,62
Lord Abbett Growth Leaders A,Large Growth,65.93,LGLAX,6/30/2011,6/30/2015,99.36,87
Lord Abbett Growth Opportunities A,Mid Growth,85.72,LMGAX,8/1/1995,6/30/2015,96.37,114
Lord Abbett Micro Cap Growth I,Small Growth,98.76,LMIYX,7/9/1999,6/30/2015,96.44,103
Lord Abbett Micro Cap Value I,Small Blend,98.35,LMVYX,7/9/1999,6/30/2015,96.98,60
Lord Abbett Mid Cap Stock A,Mid Blend,88.63,LAVLX,6/28/1983,6/30/2015,98.9,83
Lord Abbett Small Cap Value A,Small Blend,93.37,LRSCX,12/13/1995,6/30/2015,94.79,85
Lord Abbett Value Opportunities A,Mid Blend,91.48,LVOAX,12/30/2005,6/30/2015,98.03,87
LSV Conservative Value Equity,Large Value,52.89,LSVVX,3/30/2007,6/30/2015,99.31,179
LSV Small Cap Value,Small Value,80.03,LSVQX,2/28/2013,6/30/2015,98.1,285
LSV US Managed Volatility Institutional,Large Value,76.23,LSVMX,6/25/2014,6/30/2015,98.67,108
LSV Value Equity,Large Value,60.22,LSVEX,3/31/1999,6/30/2015,99.39,135
LWAS/DFA US High Book To Market,Large Value,53.25,DFBMX,6/6/1996,6/30/2015,99.72,282
Lyrical US Value Equity Institutional,Large Blend,96.55,LYRIX,2/4/2013,6/30/2015,98.55,34
Madison Dividend Income Y,Large Value,69.93,BHBFX,12/18/1986,6/30/2015,94.53,47
Madison Investors Y,Large Growth,89.2,MINVX,11/1/1978,6/30/2015,94.16,36
Madison Large Cap Growth A,Large Growth,65.6,MCAAX,12/29/1997,6/30/2015,95.22,54
Madison Large Cap Value A,Large Value,76.68,MGWAX,12/29/1997,6/30/2015,96.67,43
Madison Mid Cap Y,Mid Growth,96.18,GTSGX,7/21/1983,6/30/2015,93.04,35
Madison Small Cap A,Small Blend,94.03,MASVX,12/27/2006,6/30/2015,94.68,78
MainStay Common Stock A,Large Blend,50.35,MSOAX,6/1/1998,6/30/2015,99.81,167
MainStay Cornerstone Growth A,Large Growth,68.26,KLGAX,8/7/2006,6/30/2015,99.5,44
MainStay Epoch US All Cap I,Large Blend,78.02,MATIX,1/2/1991,6/30/2015,95.79,61
MainStay Epoch US Equity Yield I,Large Blend,78.26,EPLCX,12/3/2008,6/30/2015,95.88,97
MainStay ICAP Equity I,Large Value,88.88,ICAEX,12/30/1994,5/31/2015,99.01,44
MainStay ICAP Select Equity I,Large Value,87.63,ICSLX,12/31/1997,5/31/2015,98.14,31
MainStay Large Cap Growth A,Large Growth,52.16,MLAAX,6/30/1995,6/30/2015,97.97,69
MainStay MAP I,Large Blend,61,MUBFX,1/21/1971,5/31/2015,97.87,160
MainStay S&P 500 Index I,Large Blend,13.68,MSPIX,1/2/1991,6/30/2015,97.63,509
Mainstay US Equity Opportunities A,Large Blend,81.48,MYCTX,6/29/2007,6/30/2015,99.7,378
MainStay US Small Cap I,Small Blend,94.37,MOPIX,1/12/1987,6/30/2015,95.65,80
Mairs & Power Growth Inv,Large Blend,86.81,MPGFX,11/7/1958,6/30/2015,98.1,49
Mairs & Power Small Cap,Small Blend,96.95,MSCFX,8/11/2011,6/30/2015,97.83,46
Managed Account Mid Cap Value Opp,Mid Value,87.47,MMCVX,8/2/2005,6/30/2015,99.23,123
Manning & Napier Disciplined Value I,Large Value,68.99,MNDFX,11/7/2008,6/30/2015,97.52,102
Manning & Napier Dynamic Opportunities I,Mid Growth,98.56,MDOIX,1/2/2014,7/31/2015,93.78,30
Manning & Napier Equity,Large Growth,82.23,EXEYX,5/1/1998,6/30/2015,97.2,62
Manning & Napier Equity Income I,Large Value,79.32,MNEIX,1/2/2014,7/31/2015,98.71,79
Manning & Napier Focused Opportunities I,Mid Blend,97.5,MNFIX,1/2/2014,7/31/2015,98.51,32
Manning & Napier Tax Managed A,Large Growth,83.07,EXTAX,11/1/1995,6/30/2015,97.98,73
Manor,Large Blend,88.49,MNRMX,9/29/1995,3/31/2015,96.25,34
Manor Growth,Large Growth,83.41,MNRGX,6/30/1999,3/31/2015,95.44,34
Mar Vista Strategic Growth Instl,Large Growth,79.84,MVSGX,11/2/2011,3/31/2015,87.06,37
Marathon Value Portfolio,Large Blend,77.09,MVPFX,3/28/2000,4/30/2015,90.01,115
Marketocracy Masters 100,Mid Blend,95.57,MOFQX,11/5/2001,6/30/2015,83.62,124
Marsico 21st Century,Large Growth,78.15,MXXIX,2/1/2000,6/30/2015,98.38,50
Marsico Flexible Capital,Large Growth,81.99,MFCFX,12/29/2006,6/30/2015,87.58,48
Marsico Focus,Large Growth,66.65,MFOCX,12/31/1997,6/30/2015,98.1,29
Marsico Growth,Large Growth,66.08,MGRIX,12/31/1997,6/30/2015,97.69,42
MassMutual Premier Disciplined Gr Svc,Large Growth,65.12,DEIGX,12/19/2000,6/30/2015,100.13,475
MassMutual Premier Disciplined Value Svc,Large Value,58.2,DENVX,12/19/2000,6/30/2015,100.18,499
MassMutual Premier Main Street A,Large Blend,69.14,MSSAX,12/31/2004,6/30/2015,98.41,67
MassMutual Premier Small Cap Opps A,Small Blend,91.64,DLBMX,7/17/1998,6/30/2015,97.79,99
MassMutual Premier Value Adm,Large Value,70.65,DLBVX,7/25/1995,6/30/2015,98.6,94
MassMutual Select Blue Chip Growth A,Large Growth,55.05,MBCGX,6/1/2001,6/30/2015,99.44,161
MassMutual Select Diversified Value A,Large Value,59.05,MDDAX,10/15/2004,6/30/2015,98.1,267
MassMutual Select Focused Value A,Large Blend,87.24,MFVAX,4/28/2000,6/30/2015,89.1,22
MassMutual Select Fundamental Growth A,Large Growth,60.37,MOTAX,4/28/2000,6/30/2015,99.62,96
MassMutual Select Fundamental Value A,Large Value,64.26,MFUAX,12/31/2001,6/30/2015,98.58,81
MassMutual Select Growth Opps A,Large Growth,66.37,MMAAX,4/28/2000,6/30/2015,98.82,58
MassMutual Select Large Cap Value A,Large Value,63.46,MMLAX,4/28/2000,6/30/2015,97.35,80
MassMutual Select Mid Cap Gr Eq II A,Mid Growth,85.54,MEFAX,5/31/2000,6/30/2015,94.46,215
MassMutual Select Mid-Cap Value A,Mid Value,77.75,MLUAX,8/29/2006,6/30/2015,98.71,141
MassMutual Select Small Cap Gr Eq A,Small Growth,75.2,MMGEX,5/3/1999,6/30/2015,96.25,303
MassMutual Select Small Cap Val Eq A,Small Blend,90.53,MMQAX,3/31/2006,6/30/2015,95.34,128
MassMutual Select Small Company Gr A,Small Growth,86.71,MRWAX,12/31/2001,6/30/2015,97.12,90
MassMutual Select Small Company Value A,Small Blend,78.29,MMYAX,12/31/2001,6/30/2015,96.67,442
Matrix Advisors Value,Large Value,79.36,MAVFX,7/1/1996,6/30/2015,99.79,38
Matthew 25,Large Growth,79.93,MXXVX,10/16/1995,3/31/2015,96.95,42
McKinley Diversified Income Instl,Mid Value,99.09,MCDNX,3/27/2013,6/30/2015,92.9,47
Meeder Aggressive Growth,Large Blend,61.4,FLAGX,2/29/2000,7/31/2015,88.79,187
Meeder Dynamic Growth,Large Blend,53.04,FLDGX,2/29/2000,7/31/2015,91.02,179
Meeder Quantex,Mid Value,89.59,FLCGX,3/20/1985,7/31/2015,64.53,107
Meeder Strategic Growth,Large Blend,72.86,FLFGX,1/31/2006,7/31/2015,80.49,153
Meehan Focus,Large Blend,77.23,MEFOX,12/10/1999,4/30/2015,100,35
Meridian Contrarian Legacy,Mid Growth,94.86,MVALX,2/10/1994,6/30/2015,92.28,74
Meridian Equity Income Legacy,Large Value,90.84,MEIFX,1/31/2005,6/30/2015,77.04,62
Meridian Growth Legacy,Small Growth,88.02,MERDX,8/1/1984,6/30/2015,90.4,79
Meridian Small Cap Growth Investor,Small Growth,88.65,MISGX,12/16/2013,6/30/2015,90.31,101
Meritage Growth Equity Institutional,Large Growth,78,MPGIX,12/20/2013,6/30/2015,90.98,54
Meritage Value Equity Institutional,Large Value,90.78,MVEBX,12/20/2013,6/30/2015,92.86,53
Meritage Yield-Focus Equity Instl,Large Value,88.99,MPYIX,12/20/2013,6/30/2015,95.56,58
Meydenbauer Dividend Growth No Load,Large Blend,78.34,CMDGX,9/30/2010,6/30/2015,93.25,43
Meyers Capital Aggressive Growth,Small Growth,95.92,MAGFX,8/13/2008,5/31/2015,95.8,54
MFS Blended Research Core Equity I,Large Blend,59.84,MUSEX,1/14/1994,6/30/2015,98.83,87
MFS Core Equity A,Large Blend,63.11,MRGAX,1/2/1996,6/30/2015,98.7,207
MFS Equity Income A,Large Value,68.55,EQNAX,9/27/2012,6/30/2015,98.17,90
MFS Equity Opportunities A,Large Blend,93.95,SRFAX,8/30/2000,6/30/2015,99.63,42
MFS Growth B,Large Growth,48.38,MEGBX,12/29/1986,6/30/2015,97.95,106
MFS Instl Large-Cap Value,Large Value,66.51,ILVAX,5/1/2001,6/30/2015,98.41,96
MFS Low Volatility Equity A,Large Blend,61.99,MLVAX,12/5/2013,6/30/2015,97.72,102
MFS Massachusetts Investors Gr Stk A,Large Growth,71.52,MIGFX,1/1/1935,6/30/2015,99.79,66
MFS Massachusetts Investors Tr A,Large Blend,69.92,MITTX,7/15/1924,6/30/2015,98.92,85
MFS Mid Cap Growth A,Mid Growth,91.34,OTCAX,12/1/1993,6/30/2015,98.25,121
MFS Mid Cap Value A,Mid Value,74.43,MVCAX,8/31/2001,6/30/2015,97.41,162
MFS New Discovery A,Small Growth,90.13,MNDAX,1/2/1997,6/30/2015,98.28,127
MFS New Discovery Value A,Small Value,91.84,NDVAX,5/26/2011,6/30/2015,98.13,108
MFS Research A,Large Blend,59.44,MFRFX,10/13/1971,6/30/2015,98.81,133
MFS Value A,Large Value,66.55,MEIAX,1/2/1996,6/30/2015,98.97,96
Midas Magic,Large Growth,92.49,MISEX,3/20/1986,6/30/2015,99.97,32
MM Russell 2000 Small Cap Index A,Small Blend,38.57,MCJAX,7/25/2012,6/30/2015,95.08,"1,981"
MM S&P 500 Index R4,Large Blend,13.72,MIEAX,2/27/1998,6/30/2015,98.26,506
MM S&P Mid Cap Index A,Mid Blend,75.96,MDKAX,7/25/2012,6/30/2015,97.45,402
Monetta,Large Growth,77.87,MONTX,5/6/1986,6/30/2015,92.59,77
Monetta Young Investor,Large Growth,69.87,MYIFX,12/12/2006,6/30/2015,97.54,44
Monongahela All Cap Value,Mid Value,96.86,MCMVX,7/1/2013,4/30/2015,86.18,41
Monteagle Informed Investor Growth I,Large Growth,92.5,MIIFX,4/3/2008,5/31/2015,83.64,30
Monteagle Quality Growth I,Large Growth,66.14,MFGIX,3/30/1998,5/31/2015,95.64,65
Monteagle Select Value I,Large Value,88.78,MVEIX,3/30/1998,5/31/2015,83.72,40
Monteagle Value I,Large Value,82.05,MVRGX,12/17/1999,5/31/2015,93.2,48
Montibus Small Cap Growth Instl,Small Growth,86.72,SGRIX,11/1/2007,6/30/2015,96.95,92
Morgan Dempsey Small/Micro Cap Value,Small Blend,98.46,MITYX,12/31/2010,6/30/2015,96.31,69
Morgan Stanley Inst Advantage I,Large Growth,71.55,MPAIX,6/30/2008,6/30/2015,99.69,43
Morgan Stanley Inst Growth I,Large Growth,70.76,MSEQX,4/2/1991,6/30/2015,92.82,45
Morgan Stanley Inst Insight A,Mid Blend,97.78,MFPHX,12/28/2011,6/30/2015,92.12,37
Morgan Stanley Inst Mid Cap Growth I,Mid Growth,98.71,MPEGX,3/30/1990,6/30/2015,92.91,67
Morgan Stanley Inst Opportunity L,Large Growth,81.64,MGELX,5/28/1998,6/30/2015,94.63,35
Morgan Stanley Inst Small Co Gr I,Small Growth,88.5,MSSGX,11/1/1989,6/30/2015,92.75,88
Morgan Stanley Multi Cap Growth B,Large Growth,75.91,CPOBX,2/27/1996,6/30/2015,92.67,45
Motley Fool Great America,Mid Growth,96.93,TMFGX,11/1/2010,4/30/2015,95.29,66
Mount Lucas US Focused Eq I,Large Value,95.41,BMLEX,10/1/2007,5/31/2015,98.89,39
MSSPR- Large Cap Core Portfolio I A,Large Blend,69.55,MFRCLH,6/22/2004,6/30/2014,85.99,54
MSSPR- Large Cap Growth Portfolio I A,Large Growth,65.62,MFRCLK,6/22/2004,6/30/2014,87,59
MSSPR- Large Cap Value Portfolio I A,Large Value,60.48,MFRCLA,6/22/2004,6/30/2014,85.97,76
MSSPR- Mid Cap Core Portfolio I A,Mid Blend,90.44,MFRCLT,6/22/2004,6/30/2014,87.97,80
MSSPR- Small Cap Core Portfolio I A,Small Blend,93.08,MFRCLW,6/22/2004,6/30/2014,87.92,94
Muhlenkamp,Large Blend,86,MUHLX,11/1/1988,3/31/2015,91.91,48
Multimanager Aggressive Equity IA,Large Growth,55.61,[na],1/27/1986,6/30/2015,98.9,936
Multimanager Mid Cap Growth IA,Mid Growth,88.06,[na],12/31/2001,6/30/2015,99.5,"1,543"
Multimanager Mid Cap Value IA,Mid Value,81.63,[na],12/31/2001,6/30/2015,98.16,"1,736"
Mutual of America Instl All America,Large Blend,33.33,MALLX,5/1/1996,3/31/2015,97.14,757
Mutual of America Instl Equity Index,Large Blend,13.66,MAEQX,5/3/1999,3/31/2015,95.2,507
Mutual of America Instl Mid-Cap Eq Idx,Mid Blend,75.54,MAMQX,9/1/2000,3/31/2015,96.1,403
Mutual of America Instl Small Cap Growth,Small Growth,79.14,MASSX,5/1/2007,3/31/2015,95.52,160
Mutual of America Instl Small Cap Value,Small Blend,92.02,MAVSX,5/1/2007,3/31/2015,96.77,135
Nationwide Bailard Cognitive Value M,Small Value,91.3,NWHFX,5/29/2001,6/30/2015,98.67,119
Nationwide Geneva Mid Cap Growth A,Mid Growth,96.73,NWHVX,1/4/1999,6/30/2015,97.42,56
Nationwide Geneva Small Cap Growth A,Small Growth,87.17,NWHZX,6/12/2009,6/30/2015,96.75,56
Nationwide Growth Institutional,Large Growth,58.86,MUIGX,2/27/1961,6/30/2015,98.73,88
Nationwide Herndon Mid Cap Val A,Mid Value,91.45,NWWMX,6/30/2014,6/30/2015,96.07,42
Nationwide HighMark Lg Cp Core Eq InSvc,Large Blend,63.6,NWGKX,5/31/2000,6/30/2015,101.08,98
Nationwide HighMark Lg Cp Gr InSvc,Large Growth,62.57,NWGOX,11/18/1993,6/30/2015,99.27,61
Nationwide HighMark Sm Cp Core A,Small Blend,89.37,NWGPX,3/1/2007,6/30/2015,97.83,188
Nationwide HighMark Value InSvc,Large Blend,72.21,NWKFX,2/1/1991,6/30/2015,97.59,80
Nationwide Institutional Service,Large Blend,63.72,MUIFX,5/31/1933,6/30/2015,98.41,106
Nationwide Mid Cap Market Index A,Mid Blend,75.77,GMXAX,12/29/1999,6/30/2015,98.15,402
Nationwide S&P 500 Index Instl Svc,Large Blend,13.65,GRISX,11/2/1998,6/30/2015,99.23,504
Nationwide Small Cap Index A,Small Blend,38.59,GMRAX,12/29/1999,6/30/2015,98.33,"1,979"
Nationwide Small Company Growth A,Small Growth,91.09,NWSAX,1/3/2012,6/30/2015,95.02,41
Nationwide US Small Cap Value A,Small Value,75.46,NWUAX,12/21/2007,6/30/2015,99.05,"1,174"
Nationwide Ziegler Equity Inc A,Large Value,62.81,NWGYX,4/1/2005,6/30/2015,99.65,65
Natixis CGM Advisor Targeted Equity A,Large Blend,91.32,NEFGX,11/27/1968,6/30/2015,98.38,19
Natixis Oakmark A,Large Blend,72.68,NEFOX,5/6/1931,6/30/2015,94.75,60
Natixis US Equity Opportunities A,Large Growth,77.69,NEFSX,7/7/1994,6/30/2015,97.08,66
Natixis Vaughan Nelson Select A,Large Blend,90.11,VNSAX,6/29/2012,6/30/2015,93.39,25
Natixis Vaughan Nelson Small Cap Value A,Small Blend,93.84,NEFJX,12/31/1996,6/30/2015,97.55,66
Natixis Vaughan Nelson Value Opp A,Mid Blend,93.93,VNVAX,10/31/2008,6/30/2015,95.5,62
Needham Aggressive Growth,Small Growth,103.41,NEAGX,9/4/2001,6/30/2015,98.57,70
Needham Growth,Mid Growth,102.38,NEEGX,1/2/1996,6/30/2015,90.66,63
Needham Small Cap Growth,Small Growth,102.46,NESGX,5/22/2002,6/30/2015,93.29,34
Neiman Large Cap Value,Large Blend,87.66,NEIMX,4/1/2003,3/31/2015,83.39,34
Neuberger Berman All Cap Core A,Large Growth,85.27,NBEAX,12/20/2007,6/30/2015,92.22,28
Neuberger Berman AMT Growth I,Mid Growth,90.55,[na],9/10/1984,6/30/2015,99.11,104
Neuberger Berman AMT Guardian I,Large Growth,91.9,[na],11/3/1997,6/30/2015,97.87,34
Neuberger Berman AMT Large Cap Value I,Large Value,66.46,[na],3/22/1994,6/30/2015,96.93,46
Neuberger Berman AMT M/C Intrinsic Val I,Mid Value,88.91,[na],8/22/2001,6/30/2015,90.56,57
Neuberger Berman AMT Mid-Cap Growth I,Mid Growth,90.57,[na],11/3/1997,6/30/2015,94.4,105
Neuberger Berman AMT Small Cap Gr S,Small Growth,87.17,[na],7/12/2002,6/30/2015,94.82,79
Neuberger Berman AMT Social Responsive I,Large Growth,91.49,[na],2/18/1999,6/30/2015,95.39,40
Neuberger Berman Equity Income Inst,Large Value,79.76,NBHIX,11/2/2006,6/30/2015,94.86,85
Neuberger Berman Focus Inv,Large Growth,89.9,NBSSX,10/19/1955,6/30/2015,98.21,40
Neuberger Berman Genesis Inv,Mid Growth,96.86,NBGNX,9/27/1988,6/30/2015,98.42,147
Neuberger Berman Guardian Inv,Large Growth,91.9,NGUAX,6/1/1950,6/30/2015,97.43,34
Neuberger Berman Intrinsic Value Instl,Small Blend,94.01,NINLX,7/8/1997,6/30/2015,91.16,96
Neuberger Berman Large Cap Value Inv,Large Value,67.28,NPRTX,1/20/1975,6/30/2015,99.17,52
Neuberger Berman LgCp Discp Gr Inv,Large Growth,67.63,NBCIX,12/6/1999,6/30/2015,97.04,53
Neuberger Berman M/C Intrinsic Val Inv,Mid Value,88.91,NBRVX,6/1/1999,6/30/2015,86.86,57
Neuberger Berman Mid Cap Growth Inv,Mid Growth,90.51,NMANX,3/1/1979,6/30/2015,95.11,105
Neuberger Berman Multi-Cap Opp Inst,Large Blend,81.03,NMULX,11/2/2006,6/30/2015,99.34,45
Neuberger Berman Small Cap Growth Inv,Small Growth,87.17,NBMIX,10/20/1998,6/30/2015,97.16,79
Neuberger Berman Socially Rspns Inv,Large Growth,91.49,NBSRX,3/16/1994,6/30/2015,96,41
Neuberger Berman Value Instl,Large Value,67.39,NLRLX,11/2/2006,6/30/2015,111.86,51
New Covenant Growth,Large Growth,71.45,NCGFX,6/30/1999,3/31/2015,95.1,245
Nicholas,Mid Growth,96.12,NICSX,7/14/1969,7/31/2015,93.17,44
Nicholas Equity Income I,Mid Value,95.96,NSEIX,11/23/1993,7/31/2015,93.76,50
Nicholas II I,Mid Growth,88.05,NCTWX,10/17/1983,7/31/2015,93.7,83
Nicholas Limited Edition I,Small Growth,89.32,NCLEX,5/18/1987,7/31/2015,93.03,80
North Country Equity Growth,Large Growth,63.23,NCEGX,3/1/2001,5/31/2015,98.23,78
North Star Dividend I,Small Value,99.45,NSDVX,5/31/2013,5/31/2015,95.47,55
North Star Micro Cap I,Small Value,100,NSMVX,5/31/2013,5/31/2015,97.97,56
Northeast Investors Growth,Large Growth,68.64,NTHFX,10/27/1980,3/31/2015,98.67,53
Northern Income Equity,Large Value,77.66,NOIEX,3/31/1994,6/30/2015,99.75,62
Northern Large Cap Core,Large Value,68.93,NOLCX,12/16/2005,6/30/2015,99.93,137
Northern Large Cap Equity,Large Blend,68.11,NOGEX,3/31/1994,6/30/2015,100,57
Northern Large Cap Value,Large Value,68.96,NOLVX,8/3/2000,6/30/2015,99.86,140
Northern Mid Cap Index,Mid Blend,75.96,NOMIX,3/22/2005,6/30/2015,99.74,398
Northern Multi-Manager Lg Cap,Large Growth,69.93,NMMLX,10/17/2007,6/30/2015,99.8,146
Northern Multi-Manager Mid Cap,Mid Blend,75.12,NMMCX,6/22/2006,6/30/2015,99.71,253
Northern Multi-Manager Small Cap,Small Growth,81.88,NMMSX,6/22/2006,6/30/2015,99.01,257
Northern Small Cap Core,Small Blend,40.71,NSGRX,9/30/1999,6/30/2015,99.57,"1,792"
Northern Small Cap Index,Small Blend,38.59,NSIDX,9/3/1999,6/30/2015,99.74,"1,988"
Northern Small Cap Value,Small Value,69.39,NOSGX,3/31/1994,6/30/2015,99.67,576
Northern Stock Index,Large Blend,13.71,NOSIX,10/7/1996,6/30/2015,99.78,503
NorthPointe Large Cap Value Instl,Large Value,60.17,NPILX,3/25/2014,4/30/2015,96.91,75
NorthPointe Small Cap Value Instl,Small Value,96.89,NPIVX,3/25/2014,4/30/2015,96.42,55
NorthQuest Capital,Large Blend,95.22,NQCFX,1/15/2002,3/31/2015,97.37,18
Nuance Concentrated Value Institutional,Large Value,98.55,NCVLX,5/31/2011,4/30/2015,96.15,24
Nuance Mid Cap Value Institutional,Mid Value,95.43,NMVLX,12/31/2013,4/30/2015,93.29,52
Nuveen Concentrated Core A,Large Blend,88.61,NCADX,6/17/2013,6/30/2015,100.02,20
Nuveen Core Dividend A,Large Value,83.5,NCDAX,6/17/2013,6/30/2015,100.32,116
Nuveen Dividend Value A,Large Value,67.46,FFEIX,12/18/1992,6/30/2015,100.05,95
Nuveen Equity Index A,Large Blend,13.25,FAEIX,12/14/1992,6/30/2015,97.53,501
Nuveen Growth A,Large Growth,72.33,NSAGX,3/28/2006,6/30/2015,98.93,54
Nuveen Large Cap Core A,Large Blend,74.6,NLACX,6/17/2013,6/30/2015,100,111
Nuveen Large Cap Core Plus A,Large Blend,104.81,NLAPX,6/17/2013,6/30/2015,99.78,110
Nuveen Large Cap Growth A,Large Growth,74.76,NLAGX,6/17/2013,6/30/2015,99.9,95
